EventID	TotalHits	UniqueHits	Ratio
926	1708	1307	0.765222
927	706	236	0.334278
928	726	81	0.11157
930	36	36	1
931	909	125	0.137514
935	97	97	1
936	8	8	1
937	7380	1182	0.160163
938	6141	1208	0.196711
940	128	16	0.125
943	766	118	0.154047
947	47	47	1
950	13444	2995	0.222776
951	2661	2472	0.928974
953	373	51	0.136729
955	10287	1268	0.123262
958	80	80	1
961	6765	1349	0.199409
966	8675	1017	0.117233
968	409	409	1
970	134	18	0.134328
971	833	202	0.242497
975	30	30	1
978	4	4	1
980	1081	830	0.767808
982	665	609	0.915789
983	7	7	1
984	152	19	0.125
986	186	186	1
990	21	21	1
991	84	84	1
998	1460	1362	0.932877
1000	1405	1405	1
1001	1224	1224	1
1003	4385	423	0.0964652
1007	33	33	1
1010	3857	1446	0.374903
1011	94	94	1
1013	104	13	0.125
1015	475	475	1
1016	1144	1144	1
1018	259	36	0.138996
1023	21	21	1
1025	13021	1631	0.125259
1028	106	16	0.150943
1029	8375	1233	0.147224
1031	1583	1068	0.674668
1032	2602	416	0.159877
1033	1598	228	0.142678
1039	33	33	1
1043	434	434	1
1044	2441	211	0.08644
1046	268	268	1
1050	843	469	0.556346
1054	558	160	0.286738
1059	5	5	1
1062	2213	2020	0.912788
1063	6524	612	0.0938075
1065	98	98	1
1067	1236	193	0.156149
1069	1134	137	0.120811
1072	870	668	0.767816
1073	6738	1653	0.245325
1074	632	367	0.580696
1076	26	26	1
1078	21	21	1
1080	1090	940	0.862385
1081	2490	1615	0.648594
1082	11	11	1
1084	54	54	1
1085	971	120	0.123584
1086	116	116	1
1090	90	16	0.177778
1093	1036	166	0.160232
1094	2517	503	0.199841
1095	63	9	0.142857
1101	238	52	0.218487
1102	99	99	1
1105	11723	2103	0.179391
1106	6041	1375	0.227611
1107	4482	544	0.121374
1108	27	27	1
1112	277	93	0.33574
1113	398	54	0.135678
1116	8	8	1
1117	3252	283	0.0870234
1118	217	217	1
1119	277	44	0.158845
1120	1470	1443	0.981633
1121	10454	1621	0.15506
1122	131	75	0.572519
1124	24	24	1
1125	350	277	0.791429
1127	442	57	0.128959
1130	396	196	0.494949
1131	19	19	1
1134	618	209	0.338188
1135	42	42	1
1138	1600	952	0.595
1139	226	58	0.256637
1140	5	5	1
1145	23	23	1
1146	10	10	1
1147	64	64	1
1150	23	23	1
1151	19	19	1
1152	110	110	1
1155	5667	684	0.120699
1156	1026	966	0.94152
1159	176	22	0.125
1163	859	99	0.11525
1164	136	28	0.205882
1166	269	37	0.137546
1167	435	435	1
1171	115	37	0.321739
1174	3180	453	0.142453
1177	40	40	1
1178	178	178	1
1179	44	44	1
1181	12	12	1
1182	260	79	0.303846
1189	283	145	0.512367
1191	1543	265	0.171743
1192	232	29	0.125
1196	845	845	1
1198	100	100	1
1199	161	107	0.664596
1201	1742	299	0.171642
1202	76	76	1
1204	1401	1401	1
1205	8983	1640	0.182567
1207	10997	2197	0.199782
1211	2038	1832	0.898921
1212	146	146	1
1213	153	35	0.228758
1214	838	495	0.590692
1217	5278	751	0.142289
1218	182	23	0.126374
1219	314	74	0.235669
1221	354	228	0.644068
1223	848	358	0.42217
1225	448	69	0.154018
1227	996	715	0.717871
1228	1794	1794	1
1229	1378	1324	0.960813
1230	49	49	1
1232	3553	512	0.144104
1235	168	21	0.125
1236	513	67	0.130604
1237	113	113	1
1239	34	34	1
1240	51	51	1
1241	3417	1761	0.515364
1244	405	144	0.355556
1249	1106	1106	1
1250	44	44	1
1252	70	70	1
1255	92	92	1
1256	190	190	1
