
Processing energy_r.C...
Primary TrackID: 1 Energy: 1
TrackID: 5 HitID: 36 energy: 0.000944064
TrackID: 5 HitID: 37 energy: 0.00059004
TrackID: 5 HitID: 38 energy: 0.00103847
TrackID: 5 HitID: 39 energy: 0.00073165
TrackID: 5 HitID: 40 energy: 0.000401227
TrackID: 5 HitID: 41 energy: 0.000212414
TrackID: 5 HitID: 42 energy: 0.000306821
TrackID: 5 HitID: 43 energy: 0.000188813
TrackID: 5 HitID: 44 energy: 9.44064e-05
TrackID: 5 HitID: 45 energy: 4.72032e-05
TrackID: 5 HitID: 46 energy: 7.08048e-05
TrackID: 5 HitID: 47 energy: 4.72032e-05
TrackID: 5 HitID: 48 energy: 7.08048e-05
TrackID: 6 HitID: 27 energy: 0.000259618
TrackID: 6 HitID: 28 energy: 0.00110928
TrackID: 6 HitID: 29 energy: 0.000684447
TrackID: 6 HitID: 30 energy: 0.00059004
TrackID: 6 HitID: 31 energy: 0.000259618
TrackID: 6 HitID: 32 energy: 0.000212414
TrackID: 6 HitID: 33 energy: 0.000236016
TrackID: 6 HitID: 34 energy: 0.000188813
TrackID: 7 HitID: 20 energy: 9.44064e-05
TrackID: 7 HitID: 21 energy: 0.000306821
TrackID: 7 HitID: 22 energy: 0.000259618
TrackID: 7 HitID: 23 energy: 0.00014161
TrackID: 7 HitID: 24 energy: 0.00014161
TrackID: 7 HitID: 25 energy: 0
TrackID: 7 HitID: 26 energy: 0.000212414
TrackID: 8 HitID: 7 energy: 0.00106207
TrackID: 8 HitID: 8 energy: 0.0014869
TrackID: 8 HitID: 9 energy: 0.00129809
TrackID: 8 HitID: 10 energy: 0.000826056
TrackID: 8 HitID: 11 energy: 0.000755251
TrackID: 8 HitID: 12 energy: 0.00044843
TrackID: 8 HitID: 13 energy: 0.000283219
TrackID: 8 HitID: 14 energy: 0.000283219
TrackID: 8 HitID: 15 energy: 0.000118008
TrackID: 8 HitID: 16 energy: 0.000118008
TrackID: 8 HitID: 17 energy: 9.44064e-05
TrackID: 8 HitID: 18 energy: 2.36016e-05
TrackID: 8 HitID: 19 energy: 0.000236016
Primary TrackID: 1 Energy: 1
TrackID: 1 HitID: 0 energy: 0
